Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,pca_x,pca_y,umap_x,umap_y,ae_x,ae_y,vae_x,vae_y,Total_Spend
1,3,8352,2820,1293,779,656,144,-1.0412656228559634,-0.5005082069890011,10.012773,9.069511,12.422918,13.411508,0.8302795,0.81423724,14044
1,3,16705,2037,3202,10643,116,1365,-0.8046053821769114,1.3012850505334514,14.272419,7.2700386,0.0,9.584908,0.85399204,0.8550598,34068
1,3,18291,1266,21042,5373,4173,14472,1.801281758891889,2.548620576691651,8.852987,5.810632,0.0,0.0,1.2114878,0.9965303,64617
1,3,4420,5139,2661,8872,1321,181,-0.6343489130953581,0.33145737223049593,13.738142,8.421237,13.940916,14.291968,0.8642502,0.79956573,22594
2,3,19899,5332,8713,8132,764,648,-0.22896966531604535,0.9075207544573807,13.926563,7.1794543,0.27189857,12.454382,0.7957778,0.80922455,43488
2,3,8190,6343,9794,1285,1901,1780,0.03064858387205777,-0.3084683606817535,6.584103,7.2770658,5.308195,5.181446,0.8326057,0.7958149,29293
1,3,20398,1137,3,4407,3,975,-1.167109428157232,0.6448422228642475,11.439867,6.3751245,7.7404704,13.103211,0.83057374,0.7951739,26923
1,3,717,3587,6532,7530,529,894,-0.5679203181643925,0.10052206736490722,13.466339,8.778391,8.092099,8.926007,0.8551365,0.78139174,19789
2,3,12205,12697,28540,869,12034,1009,2.752948663737723,-1.0910029595060795,3.315146,5.2345066,5.196744,0.0,0.8731954,0.814097,67354
1,3,10766,1175,2067,2096,301,167,-1.1324412991145767,-0.2409354583106875,10.823988,8.811718,12.754479,13.55553,0.83313614,0.81940126,16572
1,3,1640,3259,3655,868,1202,1653,-0.6903938253158397,-0.5603432735191758,8.379685,9.780885,6.8671217,7.783968,0.8510309,0.79713833,12277
1,3,7005,829,3009,430,610,529,-1.063340330564802,-0.578287112454595,9.854295,9.472557,11.009066,11.7649145,0.85526097,0.79876983,12412
2,3,219,9540,14403,283,7818,156,1.0489486258925755,-1.4105491433521309,4.662019,6.7539034,4.7958865,2.0783935,0.8392422,0.85079956,32419
2,3,10362,9232,11009,737,3537,2342,0.5580907209018314,-0.2599706200174194,6.3533416,6.9448414,3.8286085,3.0213685,0.8584403,0.8051356,37219
1,3,20874,1563,1783,2320,550,772,-1.0023082203946578,0.31341047252838633,11.066984,6.2757587,8.016022,13.734033,0.8256306,0.79096633,27862
2,3,11867,3327,4814,1178,3837,120,-0.40843051225180044,-0.526562578941396,7.766826,8.011473,15.008038,11.899281,0.7639831,0.7569221,25143
2,3,16117,46197,92780,1026,40827,2944,12.653002077266358,-2.7152059094106593,3.0996754,4.589378,2.3114374,0.0,1.0658715,0.9832893,199891
2,3,22925,73498,32114,987,20070,903,8.420988796246263,-0.4468577683294913,3.184801,4.5584936,5.342982,0.0,1.0641357,1.0211908,150497
1,3,43265,5025,8117,6312,1579,14351,1.0756854574888335,4.069341799774197,8.960182,5.73201,0.3373441,2.6497033,0.9458202,0.975796,78649
1,3,7864,542,4042,9735,165,46,-1.014288901172112,0.5488453051671149,13.956337,8.215402,11.900704,12.4909315,0.87146115,0.8467983,22394
1,3,24904,3836,5330,3443,454,3178,-0.39089963728732463,1.0302463917012707,9.95319,5.939926,2.1399345,5.6250887,0.860084,0.8456737,41145
1,3,11405,596,1638,3347,69,360,-1.1957476379351286,-0.009482585444406156,11.41675,8.728022,12.149059,13.176534,0.84739757,0.8103757,17415
1,3,12754,2762,2530,8693,627,1117,-0.7890259365377522,0.8371028962289797,14.048536,7.760536,9.094667,10.748468,0.841468,0.82311296,28483
2,3,9198,27472,32034,3232,18906,5130,5.228908864734288,-0.4365352919877865,3.0625672,4.6542263,1.1474062,0.0,0.85627717,0.88296545,95972
1,3,11314,3090,2062,35009,71,2698,-0.44490063420285825,4.417973550645453,14.72537,7.181907,0.0,4.76781,1.0382627,0.93033,54244
2,3,5626,12220,11323,206,5038,244,0.7642179442662285,-0.9519205030205663,5.0908437,6.544192,3.2034342,1.7444332,0.883418,0.86509806,34657
1,3,3,2920,6252,440,223,709,-0.7631789623000095,-0.8430016771663457,8.038946,10.051647,8.074098,8.624792,0.8540656,0.8054363,10547
2,3,23,2616,8118,145,3874,217,-0.29766813902322253,-1.195233624271711,6.6605396,8.348067,9.704756,7.414602,0.8526509,0.8113091,14993
1,3,403,254,610,774,54,63,-1.3762252057314979,-0.8340005621745535,8.937068,11.174159,12.72747,13.391147,0.8671268,0.81858706,2158
1,3,503,112,778,895,56,132,-1.3685347634447855,-0.8065126032213139,8.945835,11.16341,12.676638,13.328916,0.8641715,0.8170683,2476
1,3,9658,2182,1909,5639,215,323,-1.0301167904853334,0.20571102308688233,13.392134,8.456418,12.276026,13.064836,0.84098554,0.805102,19926
2,3,11594,7779,12144,3252,8035,3029,1.1294687312674212,-0.04340041258159052,5.0488257,6.001512,5.3827667,2.7243767,0.7516016,0.73525345,45833
2,3,1420,10810,16267,1593,6766,1838,1.3018099312040803,-0.8521348174451655,4.4742455,6.231381,4.43239,1.7010176,0.7994056,0.83269525,38694
2,3,2932,6459,7677,2561,4573,1386,0.17869599905766895,-0.5471844208257614,6.0148134,7.88455,10.018629,7.092728,0.7998167,0.7921145,25588
1,3,56082,3504,8906,18028,1480,2498,0.12073486799576924,3.9362605228292327,11.5970125,4.349708,0.0,5.516831,0.9330915,0.89861685,90498
1,3,14100,2132,3445,1336,1491,548,-0.8035656359037836,-0.20340201659792337,10.363959,7.820461,10.38588,12.968407,0.81042737,0.7929462,23052
1,3,15587,1014,3970,910,139,1378,-0.9361259471303286,0.005368741565946279,10.721844,7.3586407,6.8643527,9.550551,0.849434,0.81569237,22998
2,3,1454,6337,10704,133,6830,1831,0.6230407533913298,-1.0042899330565531,5.1224427,7.324374,8.9938345,5.0827656,0.8132996,0.8340763,27289
2,3,8797,10646,14886,2471,8969,1438,1.4581964075716107,-0.6034291465105371,4.7845607,5.887267,4.5188513,1.8728149,0.78609586,0.7701384,47207
2,3,1531,8397,6981,247,2505,1236,-0.0011339575991676518,-0.7808754965195195,6.4840827,8.229195,4.1159573,4.2991047,0.8715146,0.85379416,20897
2,3,1406,16729,28986,673,836,3,1.6607422372651774,-1.1083113473421777,4.247107,5.7416387,2.0411506,0.7284254,1.0509614,0.9726029,48633
1,3,11818,1648,1694,2276,169,1647,-0.9993050300761198,0.10877980729369989,10.917859,8.251941,6.907178,8.094206,0.84383273,0.79319555,19252
2,3,12579,11114,17569,805,6457,1519,1.36954447721865,-0.5422803621719073,4.8749127,5.8242073,4.6036844,1.3136873,0.81704956,0.77956885,50043
1,3,19046,2770,2469,8853,483,2708,-0.6452410369277821,1.4137408532381528,14.076268,7.2325974,0.0,5.0878115,0.84087265,0.84436023,36329
1,3,14438,2295,1733,3220,585,1561,-0.8898924297400105,0.3062800237807415,10.911242,6.999311,7.1444087,9.402396,0.82731843,0.7889321,23832
1,3,18044,1080,2000,2555,118,1266,-1.0380631323743499,0.3275546630190319,11.073293,6.6985035,7.0539446,11.012249,0.8431195,0.81976414,25063
1,3,11134,793,2988,2715,276,610,-1.0604730770387323,-0.08537624272995954,11.207197,8.67901,10.958542,11.802448,0.8326217,0.80562425,18516
1,3,11173,2521,3355,1517,310,222,-0.953151803511421,-0.2921899427764363,10.29273,8.508504,12.232868,13.064795,0.8381336,0.8164401,19098
1,3,6990,3880,5380,1647,319,1160,-0.6580705275837639,-0.29902985520294023,8.786354,9.059014,8.108643,8.953074,0.8386763,0.7958877,19376
1,3,20049,1891,2362,5343,411,933,-0.9154106186247312,0.6910657771957812,11.533898,6.440709,8.011678,13.287546,0.81009245,0.7900542,30989
1,3,8258,2344,2147,3896,266,635,-0.9933467672078827,-0.02123775322967435,11.8046055,8.960811,10.886621,11.786811,0.8214992,0.8029113,17546
1,3,17160,1200,3412,2417,174,1136,-0.9525076609630903,0.22656873985323994,11.042132,6.7918496,7.589067,11.320931,0.82893413,0.81982905,25499
1,3,4020,3234,1498,2395,264,255,-1.0311491458307507,-0.43543979475117606,9.295423,9.780643,11.903632,12.796297,0.82127714,0.8182973,11666
1,3,12212,201,245,1991,25,860,-1.282463934263935,-0.03785640967493499,11.072301,8.188609,9.685101,11.168054,0.854388,0.8079302,15534
2,3,11170,10769,8814,2194,1976,143,0.18195802371095712,-0.30136406832701274,6.889999,7.052778,3.065049,3.2264924,0.81511724,0.8119782,35066
1,3,36050,1642,2961,4787,500,1621,-0.777830757949659,1.3960105493104153,10.978014,4.9617405,2.892991,8.485855,0.8339632,0.8036796,47561
1,3,76237,3473,7102,16538,778,918,-0.1593114122546675,4.372938877478558,11.5682125,4.3114376,0.0,11.04619,0.9685145,0.93190277,105046
1,3,19219,1840,1658,8195,349,483,-0.9817230448586687,0.9489340971624213,14.089916,7.3620563,9.144182,14.237257,0.82400954,0.7992314,31744
2,3,21465,7243,10685,880,2386,2749,0.33377701918289554,0.33913447317235557,8.461938,6.215716,3.5910997,6.619805,0.87470126,0.8007332,45408
1,3,140,8847,3823,142,1062,3,-0.44148913536324197,-0.9419274997969078,7.493544,9.435294,3.9953482,4.291145,0.91911733,0.9231757,14017
1,3,42312,926,1510,1718,410,1819,-0.9233482589955376,1.3253437045943095,10.867232,4.647921,3.6775405,8.468787,0.8522639,0.8114637,48695
1,3,7149,2428,699,6316,395,911,-1.014489122225555,0.3032001458284983,13.495155,8.594646,10.661119,11.5877495,0.84486,0.79598737,17898
1,3,2101,589,314,346,70,310,-1.3446217914178262,-0.7653053419559721,9.006093,11.201427,12.023055,12.842949,0.8653725,0.8094758,3730
1,3,14903,2032,2479,576,955,328,-0.956375733809741,-0.26256320662739646,10.523848,7.6930985,10.751923,13.9455185,0.8436194,0.81243694,21273
1,3,9434,1042,1235,436,256,396,-1.2000597903156291,-0.45115186037271354,10.157606,9.155557,11.679607,12.561705,0.851217,0.8166443,12799
1,3,7388,1882,2174,720,47,537,-1.096222114093062,-0.46938946383809066,9.945127,9.382722,10.922726,11.78915,0.85014397,0.8070214,12748
1,3,6300,1289,2591,1170,199,326,-1.1146844061953058,-0.517152140234516,9.979599,9.559253,11.847915,12.604948,0.84888184,0.80904853,11875
1,3,4625,8579,7030,4575,2447,1542,0.09183687126192493,-0.0468156265952589,5.848203,7.773183,4.0530763,4.427026,0.8017044,0.7732909,28798
1,3,3087,8080,8282,661,721,36,-0.24698895451871955,-0.8064430121143962,7.3696837,9.068146,4.385541,4.415835,0.85414785,0.84962636,20867
1,3,13537,4257,5034,155,249,3271,-0.46653331551931515,0.17767560336673088,8.564138,7.127076,3.985639,5.780302,0.9509649,0.84975475,26503
1,3,5387,4979,3343,825,637,929,-0.6989880039532499,-0.48428161642470424,8.411068,9.2599535,8.219096,9.122975,0.8320273,0.79379857,16100
1,3,17623,4280,7305,2279,960,2616,-0.2658730595569828,0.4261415932030336,8.72747,6.489071,4.132267,6.63106,0.86810875,0.8023281,35063
1,3,30379,13252,5189,321,51,1450,0.08340936901899183,0.6861864928495433,9.468292,5.705403,4.7943764,10.585811,0.9219942,0.9185736,50642
1,3,37036,7152,8253,2995,20,3,-0.26116704578230193,0.9281486696297092,10.727128,5.004324,7.988232,18.523413,0.7809835,0.875028,55459
1,3,10405,1596,1096,8425,399,318,-1.070359353926106,0.5832726085782399,13.885406,8.214603,12.360283,13.25312,0.86338234,0.81928915,22239
1,3,18827,3677,1988,118,516,201,-0.9179990640335736,-0.1294038517651885,10.486607,7.2794185,9.989538,15.245565,0.88889056,0.84245193,25327
2,3,22039,8384,34792,42,12591,4430,3.2063775447177556,-0.3466800297778427,3.4178584,5.131523,1.1853423,0.0,0.9577061,0.9023069,82278
1,3,7769,1936,2177,926,73,520,-1.0870836683830052,-0.4313726353915828,9.994441,9.344907,11.017204,11.887226,0.84498894,0.8080737,13401
1,3,9203,3373,2707,1286,1082,526,-0.823046630829176,-0.3710110354540523,9.926006,8.791927,10.795673,11.77819,0.8119699,0.79315406,18177
1,3,5924,584,542,4052,283,434,-1.2434943855851712,-0.13115398634263903,12.111506,9.251085,12.126556,12.880442,0.83800817,0.81108564,11819
1,3,31812,1433,1651,800,113,1440,-0.9902618927895698,0.7224541902485728,10.884608,5.3660336,4.6614747,10.364203,0.8986693,0.8173073,37249
1,3,16225,1825,1765,853,170,1067,-1.033034035696434,0.01060157624736496,10.711163,7.3545947,7.8953485,11.11847,0.8630586,0.8189347,21905
1,3,1289,3328,2022,531,255,1774,-0.8881057022516635,-0.5191721054566807,8.288766,9.89326,6.6198435,7.5767865,0.8798292,0.81209946,9199
1,3,18840,1371,3135,3001,352,184,-1.0084375966008974,0.19664505277521793,11.3129,6.5212984,10.866663,16.389511,0.81463593,0.7933365,26883
1,3,3463,9250,2368,779,302,1627,-0.426657016791008,-0.3644042815174227,7.409327,9.362432,3.8847308,4.322907,0.89420605,0.87524825,17789
1,3,622,55,137,75,7,8,-1.436709618452152,-0.9152548145820261,9.013555,11.275773,12.9323,13.654679,0.88514525,0.8239986,904
2,3,1989,10690,19460,233,11577,2153,2.057403588979167,-1.2517433108455895,3.6496582,5.780935,6.4684267,0.79877234,0.8124213,0.8494897,46102
2,3,3830,5291,14855,317,6694,3182,0.912612762757373,-0.7083776138920403,5.1486526,7.346866,7.6663694,4.188753,0.83012795,0.8397242,34169
1,3,17773,1366,2474,3378,811,418,-0.9752505973054751,0.22698087680854181,11.267688,6.5822196,10.086168,14.931845,0.8076527,0.78020024,26220
2,3,2861,6570,9618,930,4004,1682,0.24847396668383498,-0.7008964979019688,6.0274987,7.5732846,7.8019233,5.720158,0.83745015,0.82672065,25665
2,3,355,7704,14682,398,8077,303,0.9747022686654159,-1.4029442917855397,4.5396953,6.8427753,5.7880473,2.7087104,0.8232204,0.8405287,31519
2,3,1725,3651,12822,824,4424,2157,0.31349236349301307,-0.7814601168540621,5.6345987,7.379445,6.9071956,4.8173532,0.82869864,0.8246051,25603
1,3,12434,540,283,1092,3,2233,-1.1451372695613042,0.10827121267865628,9.712064,8.045057,5.5135074,7.1591134,0.88355374,0.8054126,16585
1,3,15177,2024,3810,2665,232,610,-0.9111583056990679,0.08087324880203438,11.194594,6.9873433,10.440018,13.742253,0.8255002,0.81112033,24518
2,3,5531,15726,26870,2367,13726,446,3.0133934937102684,-1.3126536703002802,3.3298965,5.226418,4.7132373,0.0,0.85679334,0.82128257,64666
2,3,5224,7603,8584,2540,3674,238,0.12128141138536812,-0.6124059953962364,5.9991713,7.977603,4.3332214,3.8894618,0.8011983,0.7947835,27863
2,3,15615,12653,19858,4425,7108,2379,1.8224662248401677,0.14210651353039022,4.8137383,5.7537065,3.6734788,0.80478424,0.80392706,0.7644758,62038
2,3,4822,6721,9170,993,4973,3637,0.5238450014616225,-0.3044052441291425,6.0813856,7.20738,8.425673,5.7120523,0.7975715,0.78212965,30316
1,3,2926,3195,3268,405,1680,693,-0.7489488840528074,-0.7571837560823139,8.233401,9.505138,10.006159,10.9001875,0.8271862,0.77833736,12167
1,3,5809,735,803,1393,79,429,-1.2688034757092046,-0.4634250236522563,10.2115,9.834745,11.655512,12.5064,0.8421261,0.8167185,9248
1,3,5414,717,2155,2399,69,750,-1.1511655675045576,-0.31613470988298525,11.203632,9.592039,10.434097,11.1884985,0.83009624,0.8053372,11504
2,3,260,8675,13430,1116,7015,323,0.8567794404060198,-1.2256858033186082,4.673478,6.804514,5.130253,2.4183016,0.82658595,0.8352077,30819
2,3,200,25862,19816,651,8773,6250,3.2380210961007094,-0.22451631366822317,4.1494184,5.1150107,1.2221656,0.0,0.9143728,0.8853856,61552
1,3,955,5479,6536,333,2840,707,-0.25321582535468223,-0.9328179024872074,6.669111,8.402368,9.548082,8.817562,0.84374225,0.8210958,16850
2,3,514,7677,19805,937,9836,716,1.5306586399102424,-1.4278478125731158,3.9364812,6.200629,8.192731,1.4303026,0.8391347,0.8708294,39485
1,3,286,1208,5241,2515,153,1442,-0.8719552890927041,-0.4384042818032976,8.515794,10.15424,7.7698946,8.513839,0.85132545,0.8153308,10845
2,3,2343,7845,11874,52,4196,1697,0.4928383904582978,-0.8611642095422145,5.582805,7.172251,4.563278,3.2843146,0.8740147,0.85414326,28007
1,3,45640,6958,6536,7368,1532,230,-0.11069513408553885,1.822800085721027,11.289569,4.4762263,3.6196287,14.908579,0.7887199,0.85218495,68264
1,3,12759,7330,4533,1752,20,2631,-0.3385389276129647,0.28657414708858864,8.279955,6.8842497,4.751704,6.513318,0.873732,0.8504882,29025
1,3,11002,7075,4945,1152,120,395,-0.5304299363676057,-0.27729279206888596,9.410262,8.651011,7.8230877,8.361188,0.82166064,0.8157459,24689
1,3,3157,4888,2500,4477,273,2165,-0.6589951453855828,0.13558377429385443,12.696306,9.279232,5.671115,6.7704926,0.8461348,0.8018135,17460
1,3,12356,6036,8887,402,1382,2794,-0.012851370270718256,-0.025870922363867666,8.283745,6.7901816,4.5267572,6.229,0.9092684,0.83649635,31857
1,3,112151,29627,18148,16745,4948,8550,3.7269594650831834,7.167538561853782,11.476645,4.3673306,0.0,0.0,0.74637616,0.97579384,190169
1,3,694,8533,10518,443,6907,156,0.6357630879762985,-1.273276308642731,4.8230734,6.891632,4.867638,2.5485444,0.857314,0.8506936,27251
